IdPeriferico,FechaAdqui,Modelo
1,2022-06-01,911
2,2022-03-03,SLK-Class
3,2021-12-03,Rogue
4,2022-03-23,W201
5,2022-11-21,Prius
6,2022-10-14,Tribute
7,2022-06-11,Grand Prix
8,2022-05-07,4000s
9,2022-07-06,Milan
10,2022-08-05,Avanti
11,2022-04-20,Altima
12,2022-06-22,Land Cruiser
13,2022-05-19,RVR
14,2022-10-19,E-Class
15,2022-08-20,SRX
16,2022-02-21,Galant
17,2022-01-17,3000GT
18,2022-02-12,RX
19,2022-10-13,SL-Class
20,2022-01-08,CR-X
21,2022-03-16,CL-Class
22,2022-09-19,Mountaineer
23,2022-10-02,Savana 3500
24,2022-07-03,530
25,2022-08-14,M
26,2022-11-26,Crossfire
27,2022-08-18,Corvette
28,2022-05-07,A8
29,2022-11-02,Metro
30,2022-09-30,Optima
31,2022-04-24,Park Avenue
32,2022-04-27,Cougar
33,2022-11-10,Special
34,2022-01-26,Eclipse
35,2021-12-08,760
36,2022-12-01,ES
37,2022-10-20,Pilot
38,2022-02-13,Escort
39,2022-06-15,Accord
40,2022-06-21,EXP
41,2022-09-13,Jetta
42,2022-09-15,Crossfire
43,2022-05-26,Passat
44,2022-04-20,EX
45,2022-10-18,Sierra 2500
46,2022-03-17,Quest
47,2022-04-30,Five Hundred
48,2022-06-19,Century
49,2022-09-03,Explorer
50,2022-02-07,S-Class
51,2022-11-23,928
52,2022-04-28,Landaulet
53,2022-11-16,Contour
54,2022-08-30,Golf
55,2022-11-07,Regal
56,2021-12-14,M
57,2022-10-21,Sierra 2500
58,2022-02-13,Sonoma Club Coupe
59,2021-12-07,Cirrus
60,2021-12-09,Suburban 1500
61,2021-12-07,G-Class
62,2021-12-03,Grand Voyager
63,2022-01-14,Savana 2500
64,2022-04-14,Eurovan
65,2022-06-24,Escort
66,2022-10-23,Corsica
67,2022-09-06,Verano
68,2022-01-21,FJ Cruiser
69,2022-10-02,Pilot
70,2022-09-01,CLK-Class
71,2022-06-19,Vanagon
72,2022-10-21,Boxster
73,2022-05-26,XLR-V
74,2022-11-30,Corolla
75,2022-06-05,Jimmy
76,2022-01-26,Ram Van 1500
77,2022-04-15,Savana 1500
78,2022-05-16,Relay
79,2022-09-10,Truck
80,2022-04-20,Accord
81,2022-08-14,Jetta
82,2022-05-31,Regal
83,2022-03-03,XJ Series
84,2022-04-30,MDX
85,2022-06-24,Fiesta
86,2022-09-06,MR2
87,2022-04-25,Thunderbird
88,2022-06-21,Astra
89,2022-09-06,M5
90,2022-12-02,Silhouette
91,2022-06-01,Camaro
92,2022-03-15,Camry Solara
93,2022-07-27,Xterra
94,2022-08-08,Quest
95,2021-12-29,Solara
96,2021-12-28,Firebird
97,2022-08-20,Coachbuilder
98,2022-03-11,H1
99,2022-09-03,Samurai
100,2022-10-16,5 Series
101,2022-04-29,Sidekick
102,2022-01-04,Sienna
103,2022-04-02,Explorer Sport
104,2022-09-02,Expedition
105,2022-03-22,xD
106,2022-10-17,Grand Marquis
107,2022-01-11,Caravan
108,2022-09-09,Bonneville
109,2022-11-13,GTO
110,2022-10-30,LeBaron
111,2022-04-17,Hearse
112,2022-10-09,GX
113,2022-03-02,CTS-V
114,2022-02-18,GT500
115,2022-01-31,Charger
116,2022-01-24,Spyder
117,2022-11-13,Santa Fe
118,2022-08-19,DeVille
119,2022-11-18,Summit
120,2022-03-02,Type 2
121,2022-09-25,Monterey
122,2022-09-21,Ram 3500
123,2022-10-22,Sable
124,2022-05-05,Sequoia
125,2022-10-11,Esprit
126,2022-06-03,Relay
127,2022-04-17,Wrangler
128,2022-11-25,SC
129,2022-01-21,Familia
130,2021-12-16,CX-7
131,2022-02-16,Tredia
132,2022-03-18,Solara
133,2022-02-17,Commander
134,2022-04-23,G
135,2022-05-17,F450
136,2022-05-06,B-Series Plus
137,2022-01-26,Tredia
138,2022-01-11,Beretta
139,2022-09-15,Grand Prix
140,2022-07-27,Tacoma Xtra
141,2022-06-19,Canyon
142,2022-04-11,Navigator
143,2022-07-28,XK Series
144,2022-07-18,Malibu
145,2022-04-08,A6
146,2022-02-19,Outback
147,2022-08-06,Optima
148,2022-05-03,Oasis
149,2022-04-25,3500
150,2022-04-10,Azure
