IdPeriferico,FechaAdqui,Modelo
1,2022-07-15,Rally Wagon 2500
2,2022-05-29,Corvette
3,2022-10-22,Country
4,2022-11-03,Quattroporte
5,2022-06-18,Quest
6,2022-06-12,Mazda3
7,2022-10-15,Civic
8,2022-09-11,A4
9,2022-08-01,Scoupe
10,2022-06-11,Countryman
11,2022-02-26,Aztek
12,2022-09-16,E-Class
13,2022-11-25,Miata MX-5
14,2022-12-02,Coupe GT
15,2021-12-21,Trooper
16,2022-03-21,Echo
17,2022-11-07,S90
18,2022-06-26,280ZX
19,2022-07-30,Avalon
20,2022-05-11,626
21,2022-07-26,Accent
22,2022-02-23,Torrent
23,2022-03-18,C70
24,2022-11-26,626
25,2022-05-22,Accent
26,2022-04-18,E-Series
27,2022-01-23,Grand Voyager
28,2022-06-24,LHS
29,2022-06-25,Grand Vitara
30,2022-11-27,S60
31,2022-02-13,Continental
32,2022-01-12,Spider
33,2022-01-10,3000GT
34,2022-10-20,Sonata
35,2022-09-09,EX
36,2022-10-28,Savana 3500
37,2022-04-05,Ranger
38,2022-10-14,LTD Crown Victoria
39,2022-01-01,Grand Marquis
40,2022-03-05,i-350
41,2022-01-14,Swift
42,2022-04-09,Civic
43,2022-10-21,LX
44,2022-01-28,Charade
45,2022-06-25,Achieva
46,2022-04-28,Touareg
47,2022-01-04,Freelander
48,2021-12-21,Grand Caravan
49,2022-10-09,Tucson
50,2022-03-20,8 Series
51,2022-05-21,IS
52,2022-03-25,QX
53,2022-03-28,Tundra
54,2022-12-01,XC60
55,2022-03-31,98
56,2022-10-20,Ram Wagon B250
57,2022-09-26,Ascender
58,2022-02-17,Durango
59,2022-03-23,3500
60,2022-06-27,Esprit
61,2022-06-16,Toronado
62,2022-07-05,G-Series G20
63,2022-01-11,Expo
64,2022-06-20,Tucson
65,2022-11-15,Grand Vitara
66,2022-10-06,Vitara
67,2022-09-17,Silverado 3500
68,2022-03-24,Challenger
69,2022-07-03,Cooper Clubman
70,2022-09-15,Grand Vitara
71,2022-02-09,Fusion
72,2022-09-11,Galant
73,2021-12-07,RS 4
74,2022-11-10,M-Class
75,2022-09-12,S80
76,2022-02-08,Continental Mark VII
77,2022-11-30,DB9
78,2022-03-21,Allroad
79,2022-01-27,F-Series Super Duty
80,2022-06-17,Econoline E250
81,2022-03-22,Crossfire
82,2022-04-19,Tundra
83,2022-09-05,Silhouette
84,2021-12-22,Park Avenue
85,2022-06-18,Journey
86,2022-09-18,Montero Sport
87,2022-07-31,Jetta
88,2022-10-21,Range Rover Classic
89,2022-06-03,GTI
90,2022-03-16,VUE
91,2022-05-02,M3
92,2022-08-21,L-Series
93,2022-07-23,458 Italia
94,2022-05-25,Grand Prix Turbo
95,2022-02-08,Mountaineer
96,2022-06-25,SLR McLaren
97,2022-03-21,Tribute
98,2022-09-18,944
99,2022-01-11,Laser
100,2022-04-28,Suburban 2500
101,2022-08-05,RL
102,2022-01-07,Discovery
103,2022-01-04,Mini Cooper
104,2022-03-25,Ion
105,2022-08-09,Diablo
106,2022-05-01,Sonoma
107,2022-07-20,Sonoma
108,2022-08-18,Wrangler
109,2022-05-23,S2000
110,2022-10-04,Caravan
111,2022-08-21,V12 Vantage
112,2022-04-29,ES
113,2022-09-12,98
114,2022-01-09,MX-6
115,2022-04-15,LeSabre
116,2022-01-08,Silverado 2500
117,2022-12-01,Impala
118,2022-01-06,Trans Sport
119,2022-04-23,Town Car
120,2022-05-21,Discovery
121,2021-12-27,Firefly
122,2022-08-31,Ram 1500
123,2022-02-12,S-Class
124,2022-08-15,Venture
125,2022-08-01,Equator
126,2022-05-31,Catera
127,2022-08-20,Q
128,2022-10-05,DB9
129,2021-12-14,Coupe GT
130,2022-04-07,S-Series
131,2022-10-09,900
132,2022-10-08,V70
133,2022-04-30,Imperial
134,2022-07-04,Dakota
135,2022-08-14,F150
136,2022-10-20,Ram 2500
137,2022-08-13,H1
138,2022-03-19,Suburban 2500
139,2022-06-18,Commander
140,2022-09-02,Explorer Sport Trac
141,2022-06-27,Corsica
142,2022-09-27,Astro
143,2022-05-07,Tracker
144,2022-02-02,F350
145,2022-05-12,LS
146,2021-12-20,Celica
147,2022-05-02,Galant
148,2022-11-23,S4
149,2022-05-10,Mariner
150,2022-03-31,Eclipse
