IdPeriferico,FechaAdqui,Modelo
1,2022-11-27,Tacoma
2,2022-06-11,Scirocco
3,2022-11-16,Sierra 1500
4,2022-07-18,Mark VIII
5,2022-11-30,Rodeo
6,2022-06-14,Frontier
7,2022-10-08,Viper
8,2022-08-19,Corsica
9,2022-04-22,Alcyone SVX
10,2022-11-15,Express 2500
11,2022-07-09,Tahoe
12,2022-03-11,Durango
13,2022-08-30,Impreza
14,2022-09-05,S10
15,2021-12-29,Passat
16,2022-03-28,Pathfinder
17,2022-07-25,IPL G
18,2022-04-13,LeSabre
19,2021-12-03,Insight
20,2022-05-09,Optima
21,2022-10-17,Colt Vista
22,2022-09-24,F450
23,2022-08-16,Trans Sport
24,2021-12-26,del Sol
25,2022-09-21,Skylark
26,2022-08-22,9-5
27,2022-11-17,Camry
28,2022-06-30,Golf
29,2022-05-20,Integra
30,2021-12-16,Regal
31,2022-01-20,Cayenne
32,2022-04-16,Club Wagon
33,2022-01-29,MPV
34,2022-05-07,Sunbird
35,2022-03-14,Sportvan G10
36,2021-12-05,Borrego
37,2022-10-22,4000CS Quattro
38,2022-06-18,Sierra 3500
39,2022-07-08,TSX
40,2022-10-02,B-Series
41,2022-11-11,Dakota
42,2022-06-01,FX
43,2022-11-30,F250
44,2022-07-10,MKX
45,2022-10-22,Diamante
46,2022-08-14,Matrix
47,2022-01-25,SLX
48,2022-08-25,Expo
49,2022-04-18,Cougar
50,2022-02-04,Civic
51,2021-12-09,Borrego
52,2022-12-01,900
53,2022-02-28,Sable
54,2022-09-29,TSX
55,2022-09-23,F250
56,2022-07-05,Aurora
57,2022-11-15,300ZX
58,2022-03-19,A8
59,2021-12-07,C70
60,2022-09-28,Voyager
61,2022-05-27,EX
62,2022-08-25,Civic
63,2022-09-21,Biturbo
64,2022-05-23,Tracer
65,2022-11-20,Azera
66,2022-06-23,LeMans
67,2022-10-16,Passat
68,2022-05-20,A4
69,2022-10-01,Cherokee
70,2022-03-29,Sierra 1500
71,2022-04-14,3500
72,2022-09-19,Aura
73,2021-12-24,RL
74,2022-03-17,Pilot
75,2022-08-28,Mighty Max Macro
76,2022-07-13,Highlander
77,2021-12-29,Suburban 1500
78,2022-10-26,Uplander
79,2022-08-15,Thunderbird
80,2022-01-05,Vanagon
81,2022-03-13,626
82,2022-04-30,NSX
83,2022-01-02,CR-V
84,2021-12-10,S60
85,2022-02-05,MKT
86,2022-03-03,Suburban 2500
87,2022-04-26,X-Type
88,2022-09-28,Altima
89,2022-03-25,Tacoma
90,2022-09-04,Camry Hybrid
91,2022-02-09,E-350 Super Duty Van
92,2022-01-13,Grand Marquis
93,2022-04-10,S-Series
94,2022-02-15,Solara
95,2022-11-22,Z8
96,2022-06-13,Range Rover
97,2022-10-08,Mark VII
98,2022-11-28,8 Series
99,2022-09-07,GL-Class
100,2022-10-24,Millenia
101,2022-06-07,Lancer Evolution
102,2022-03-08,900
103,2022-10-06,Dakota Club
104,2022-07-22,Eos
105,2022-04-05,X6
106,2022-08-21,Cabriolet
107,2022-02-27,Daewoo Lacetti
108,2022-02-14,XJ Series
109,2022-10-28,XC70
110,2022-02-22,MKS
111,2022-08-16,C8
112,2022-05-14,Topaz
113,2022-11-10,Cougar
114,2022-04-27,599 GTB Fiorano
115,2022-10-31,Escalade EXT
116,2022-08-12,IS-F
117,2022-07-05,Grand Caravan
118,2022-01-27,Range Rover
119,2022-11-16,Pilot
120,2022-09-23,Golf
121,2022-05-04,A6
122,2022-07-16,5000CS Quattro
123,2022-05-25,GTO
124,2022-09-30,928
125,2022-02-02,Suburban
126,2022-03-28,T100
127,2022-08-27,Freestyle
128,2022-02-10,Sable
129,2022-08-20,Paseo
130,2022-09-17,Grand Prix
131,2022-06-24,Sportage
132,2022-07-27,A4
133,2022-07-07,240SX
134,2021-12-03,Bravada
135,2022-02-12,Forester
136,2022-04-02,Compass
137,2022-05-12,LX
138,2022-06-30,Prelude
139,2022-08-19,Corvette
140,2022-08-29,F-Series
141,2022-08-31,Pathfinder
142,2022-05-17,XJ
143,2022-08-31,3500
144,2022-04-25,Cabriolet
145,2022-05-16,H2
146,2021-12-17,Montero
147,2022-06-12,Elantra
148,2021-12-14,Expo
149,2022-10-08,Th!nk
150,2022-01-12,QX
