IdPeriferico,IdEstacion
1,60
2,20
3,116
4,88
5,122
6,107
7,118
8,136
9,5
10,64
11,147
12,33
13,134
14,146
15,105
16,56
17,127
18,127
19,111
20,137
21,67
22,144
23,12
24,30
25,141
26,81
27,58
28,6
29,129
30,36
31,90
32,111
33,59
34,131
35,51
36,132
37,51
38,53
39,10
40,45
41,23
42,62
43,103
44,33
45,77
46,17
47,96
48,112
49,5
50,77
51,28
52,13
53,102
54,142
55,34
56,109
57,92
58,90
59,3
60,56
61,66
62,1
63,140
64,123
65,76
66,13
67,122
68,148
69,139
70,107
71,45
72,86
73,22
74,16
75,3
76,118
77,134
78,19
79,3
80,36
81,45
82,25
83,80
84,32
85,94
86,13
87,70
88,88
89,37
90,60
91,149
92,116
93,57
94,98
95,93
96,99
97,60
98,70
99,7
100,14
101,110
102,123
103,112
104,141
105,9
106,148
107,140
108,121
109,42
110,62
111,53
112,68
113,1
114,48
115,131
116,21
117,81
118,9
119,71
120,80
121,126
122,117
123,51
124,70
125,85
126,118
127,113
128,19
129,61
130,21
131,29
132,69
133,47
134,129
135,92
136,92
137,42
138,21
139,89
140,66
141,99
142,98
143,94
144,30
145,142
146,24
147,105
148,90
149,83
150,96
