IdPeriferico,IdEstacion
1,43
2,108
3,131
4,131
5,112
6,38
7,125
8,126
9,62
10,131
11,125
12,103
13,52
14,31
15,104
16,104
17,55
18,89
19,131
20,25
21,38
22,67
23,95
24,61
25,68
26,15
27,68
28,44
29,64
30,18
31,101
32,25
33,119
34,113
35,115
36,140
37,100
38,58
39,52
40,13
41,131
42,46
43,107
44,101
45,103
46,53
47,121
48,93
49,114
50,10
51,123
52,67
53,44
54,106
55,100
56,60
57,94
58,118
59,41
60,129
61,57
62,95
63,36
64,140
65,21
66,35
67,7
68,3
69,5
70,39
71,148
72,55
73,16
74,32
75,58
76,83
77,145
78,122
79,29
80,90
81,141
82,37
83,137
84,58
85,69
86,63
87,63
88,21
89,12
90,59
91,146
92,92
93,102
94,18
95,69
96,32
97,1
98,80
99,84
100,36
101,34
102,95
103,68
104,86
105,95
106,83
107,7
108,6
109,130
110,60
111,72
112,75
113,140
114,83
115,62
116,45
117,56
118,67
119,71
120,131
121,117
122,112
123,52
124,89
125,143
126,39
127,6
128,6
129,148
130,91
131,87
132,47
133,75
134,2
135,113
136,43
137,80
138,110
139,110
140,17
141,30
142,26
143,53
144,94
145,109
146,54
147,148
148,60
149,82
150,2
